instance sat family size gpgnode/vbbjdpd flint/vbbjdpdfad
F.04 1 1 300 278 273
C.18 1 1 1000 901 901
A.04 1 1 200 181 181
C.02 1 1 1000 901 901
E.01 0 1 300 0 0
F.20 1 1 300 559 314
B.20 1 1 600 541 541
C.08 1 1 1000 901 901
B.11 1 1 600 541 541
C.10 1 1 1000 901 901
B.06 1 1 600 541 541
F.08 1 1 300 334 276
B.07 1 1 600 541 541
E.04 0 1 300 0 0
C.01 1 1 1000 901 901
B.10 1 1 600 541 541
A.15 1 1 200 181 181
C.19 1 1 1000 901 901
B.02 1 1 600 541 541
E.06 0 1 300 0 0
E.18 0 1 300 0 0
C.20 1 1 1000 901 901
F.02 1 1 300 271 271
F.11 1 1 300 271 271
F.12 1 1 300 271 271
E.05 0 1 300 0 0
B.16 1 1 600 541 541
A.08 1 1 200 181 181
C.14 1 1 1000 901 901
F.16 1 1 300 271 271
F.06 1 1 300 281 272
A.03 1 1 200 181 181
E.19 0 1 300 0 0
C.15 1 1 1000 901 901
A.16 1 1 200 181 181
B.14 1 1 600 541 541
A.02 1 1 200 181 181
F.14 1 1 300 271 271
F.05 1 1 300 271 271
B.09 1 1 600 541 541
A.01 1 1 200 181 181
C.05 1 1 1000 901 901
B.01 1 1 600 541 541
A.09 1 1 200 181 181
A.07 1 1 200 181 181
F.03 1 1 300 271 271
E.12 0 1 300 0 0
C.06 1 1 1000 901 901
C.09 1 1 1000 901 901
B.17 1 1 600 541 541
C.07 1 1 1000 901 901
E.09 0 1 300 0 0
E.17 0 1 300 0 0
C.11 1 1 1000 901 901
F.10 0 1 300 0 0
A.17 1 1 200 181 181
B.15 1 1 600 541 541
E.03 0 1 300 0 0
F.19 1 1 300 273 271
A.12 1 1 200 181 181
B.08 1 1 600 541 541
F.17 1 1 300 271 271
C.04 1 1 1000 901 901
B.19 1 1 600 541 541
C.16 1 1 1000 901 901
C.17 1 1 1000 901 901
E.08 0 1 300 0 0
F.13 1 1 300 346 304
A.20 1 1 200 181 181
E.02 0 1 300 0 0
E.16 0 1 300 0 0
B.12 1 1 600 541 541
F.09 1 1 300 287 276
A.10 1 1 200 181 181
F.18 1 1 300 271 271
E.10 1 1 300 271 271
A.06 1 1 200 181 181
E.15 0 1 300 0 0
E.07 0 1 300 0 0
E.11 0 1 300 0 0
B.03 1 1 600 541 541
B.18 1 1 600 541 541
C.03 1 1 1000 901 901
A.18 1 1 200 181 181
F.15 1 1 300 271 271
A.19 1 1 200 181 181
C.12 1 1 1000 901 901
B.05 1 1 600 541 541
A.13 1 1 200 181 181
A.05 1 1 200 181 181
F.01 1 1 300 271 271
E.20 0 1 300 0 0
B.13 1 1 600 541 541
A.14 1 1 200 181 181
B.04 1 1 600 541 541
C.13 1 1 1000 901 901
F.07 1 1 300 271 271
E.13 0 1 300 0 0
E.14 0 1 300 0 0
A.11 1 1 200 181 181
si6-r005-m400.07 1 7 400 11071 9973
si6-r005-m400.00 1 7 400 4167 3262
si6-r005-m400.01 1 7 400 4135 3404
si6-r005-m400.02 1 7 400 2639 2478
si6-r005-m400.04 1 7 400 2755 2017
si6-r005-m400.05 1 7 400 28408 23623
si6-r005-m400.09 1 7 400 243 243
si6-r005-m400.03 1 7 400 6366 5306
si6-r005-m400.06 1 7 400 1523 1445
si6-r005-m400.08 1 7 400 11474 10416
si6-m4Dr6-m625.04 1 6 625 376 376
si6-m4Dr6-m625.01 1 6 625 376 376
si6-m4Dr6-m625.09 1 6 625 376 376
si6-m4Dr6-m625.07 1 6 625 376 376
si6-m4Dr6-m625.00 1 6 625 376 376
si6-m4Dr6-m625.08 1 6 625 376 376
si6-m4Dr6-m625.05 1 6 625 376 376
si6-m4Dr6-m625.06 1 6 625 376 376
si6-m4Dr6-m625.02 1 6 625 376 376
si6-m4Dr6-m625.03 1 6 625 376 376
si4-m4Dr2-m625.09 1 6 625 251 251
si4-m4Dr2-m625.04 1 6 625 251 251
si4-m4Dr2-m625.02 1 6 625 251 251
si4-m4Dr2-m625.07 1 6 625 251 251
si4-m4Dr2-m625.00 1 6 625 251 251
si4-m4Dr2-m625.08 1 6 625 251 251
si4-m4Dr2-m625.01 1 6 625 251 251
si4-m4Dr2-m625.06 1 6 625 251 251
si4-m4Dr2-m625.03 1 6 625 251 251
si4-m4Dr2-m625.05 1 6 625 251 251
si2-r001-m600.00 1 7 600 613 613
si2-r001-m600.06 1 7 600 19949 19693
si2-r001-m600.04 1 7 600 3356 3281
si2-r001-m600.07 1 7 600 35103 34757
si2-r001-m600.02 1 7 600 714 678
si2-r001-m600.08 1 7 600 10777 10747
si2-r001-m600.03 1 7 600 2644 2628
si2-r001-m600.01 1 7 600 442 444
si2-r001-m600.05 1 7 600 507 507
si2-r001-m600.09 1 7 600 11886 11406
si2-m4Dr2-m256.09 1 6 256 53 52
si2-m4Dr2-m256.03 1 6 256 386 338
si2-m4Dr2-m256.04 1 6 256 61 59
si2-m4Dr2-m256.07 1 6 256 52 52
si2-m4Dr2-m256.00 1 6 256 54 53
si2-m4Dr2-m256.06 1 6 256 98 95
si2-m4Dr2-m256.08 1 6 256 52 52
si2-m4Dr2-m256.05 1 6 256 52 52
si2-m4Dr2-m256.01 1 6 256 67 67
si2-m4Dr2-m256.02 1 6 256 54 53
si6-r001-m600.09 1 7 600 361 361
si6-r001-m600.00 1 7 600 374 374
si6-r001-m600.07 1 7 600 363 363
si6-r001-m600.03 1 7 600 366 365
si6-r001-m600.01 1 7 600 375 374
si6-r001-m600.06 1 7 600 371 370
si6-r001-m600.08 1 7 600 373 368
si6-r001-m600.02 1 7 600 368 365
si6-r001-m600.04 1 7 600 362 362
si6-r001-m600.05 1 7 600 366 363
si2-m4Dr2-m1296.05 1 6 1296 260 260
si2-m4Dr2-m1296.09 1 6 1296 263 262
si2-m4Dr2-m1296.02 1 6 1296 274 273
si2-m4Dr2-m1296.07 1 6 1296 260 260
si2-m4Dr2-m1296.00 1 6 1296 260 260
si2-m4Dr2-m1296.06 1 6 1296 260 260
si2-m4Dr2-m1296.08 1 6 1296 260 260
si2-m4Dr2-m1296.01 1 6 1296 301 302
si2-m4Dr2-m1296.03 1 6 1296 260 260
si2-m4Dr2-m1296.04 1 6 1296 260 260
si4-b06m-m800.08 1 4 800 321 321
si4-b06m-m800.00 1 4 800 321 321
si4-b06m-m800.06 1 4 800 321 321
si4-b06m-m800.05 1 4 800 321 321
si4-b06m-m800.04 1 4 800 321 321
si4-b06m-m800.09 1 4 800 321 321
si4-b06m-m800.01 1 4 800 321 321
si4-b06m-m800.07 1 4 800 321 321
si4-b06m-m800.03 1 4 800 321 321
si4-b06m-m800.02 1 4 800 321 321
si6-m4Dr2-m625.08 1 6 625 376 376
si6-m4Dr2-m625.09 1 6 625 376 376
si6-m4Dr2-m625.05 1 6 625 376 376
si6-m4Dr2-m625.01 1 6 625 376 376
si6-m4Dr2-m625.06 1 6 625 376 376
si6-m4Dr2-m625.00 1 6 625 376 376
si6-m4Dr2-m625.03 1 6 625 376 376
si6-m4Dr2-m625.02 1 6 625 376 376
si6-m4Dr2-m625.07 1 6 625 376 376
si6-m4Dr2-m625.04 1 6 625 376 376
si2-m4D-m1296.01 1 5 1296 389 401
si2-m4D-m1296.08 1 5 1296 260 260
si2-m4D-m1296.06 1 5 1296 5348 5325
si2-m4D-m1296.05 1 5 1296 260 260
si2-m4D-m1296.09 1 5 1296 288 270
si2-m4D-m1296.03 1 5 1296 231 231
si2-m4D-m1296.07 1 5 1296 260 260
si2-m4D-m1296.02 1 5 1296 260 260
si2-m4D-m1296.04 1 5 1296 260 260
si2-m4D-m1296.00 1 5 1296 260 260
si4-b03-m800.05 1 3 800 321 321
si4-b03-m800.00 1 3 800 321 321
si4-b03-m800.08 1 3 800 321 321
si4-b03-m800.09 1 3 800 321 321
si4-b03-m800.03 1 3 800 321 321
si4-b03-m800.02 1 3 800 321 321
si4-b03-m800.04 1 3 800 321 321
si4-b03-m800.01 1 3 800 321 321
si4-b03-m800.06 1 3 800 321 321
si4-b03-m800.07 1 3 800 321 321
si6-m4D-m1296.02 1 5 1296 710 710
si6-m4D-m1296.07 1 5 1296 810 788
si6-m4D-m1296.05 1 5 1296 720 720
si6-m4D-m1296.09 1 5 1296 1078 1036
si6-m4D-m1296.00 1 5 1296 115135747 100000000
si6-m4D-m1296.08 1 5 1296 707 707
si6-m4D-m1296.04 1 5 1296 689 689
si6-m4D-m1296.06 1 5 1296 7106 4597
si6-m4D-m1296.01 1 5 1296 3408 2776
si6-m4D-m1296.03 1 5 1296 33066 10104
si6-r001-m200.05 1 7 200 121 121
si6-r001-m200.09 1 7 200 124 123
